id,label
0,5
1,9
2,4
3,1
4,4
5,5
6,9
7,0
8,3
9,7
10,8
11,3
12,1
13,8
14,0
15,7
16,7
17,3
18,5
19,3
20,3
21,8
22,9
23,8
24,3
25,5
26,7
27,7
28,0
29,4
30,4
31,0
32,3
33,4
34,6
35,3
36,4
37,0
38,9
39,9
40,0
41,1
42,5
43,9
44,4
45,7
46,3
47,3
48,3
49,6
50,9
51,6
52,0
53,0
54,8
55,3
56,5
57,3
58,3
59,0
60,8
61,7
62,8
63,3
64,0
65,0
66,4
67,6
68,3
69,3
70,3
71,4
72,0
73,5
74,1
75,4
76,9
77,7
78,4
79,5
80,0
81,1
82,6
83,9
84,7
85,3
86,3
87,3
88,1
89,6
90,0
91,8
92,0
93,8
94,3
95,7
96,3
97,3
98,8
99,8
100,8
101,3
102,7
103,3
104,3
105,3
106,3
107,4
108,4
109,3
110,0
111,0
112,4
113,7
114,1
115,9
116,9
117,4
118,5
119,1
120,5
121,9
122,0
123,5
124,3
125,3
126,3
127,3
128,0
129,3
130,8
131,7
132,8
133,3
134,3
135,8
136,7
137,3
138,5
139,4
140,4
141,1
142,4
143,8
144,7
145,3
146,3
147,0
148,9
149,5
150,0
151,9
152,5
153,3
154,3
155,9
156,3
157,9
158,4
159,0
160,3
161,8
162,8
163,8
164,8
165,7
166,7
167,3
168,5
169,0
170,4
171,0
172,8
173,8
174,6
175,3
176,3
177,3
178,6
179,5
180,5
181,1
182,0
183,3
184,6
185,1
186,0
187,7
188,3
189,3
190,9
191,6
192,1
193,4
194,8
195,8
196,4
197,5
198,8
199,8
200,8
201,5
202,8
203,4
204,8
205,6
206,9
207,9
208,6
209,3
210,3
211,9
212,5
213,9
214,1
215,7
216,0
217,5
218,1
219,7
220,9
221,3
222,3
223,3
224,6
225,4
226,8
227,5
228,8
229,5
230,4
231,3
232,0
233,7
234,5
235,8
236,6
237,8
238,3
239,3
240,6
241,9
242,6
243,9
244,4
245,5
246,0
247,3
248,9
249,3
250,7
251,3
252,3
253,8
254,0
255,5
256,8
257,3
258,0
259,8
260,8
261,0
262,7
263,3
264,3
265,3
266,5
267,4
268,5
269,8
270,8
271,9
272,3
273,3
274,3
275,0
276,9
277,0
278,9
279,1
280,1
281,5
282,1
283,3
284,3
285,9
286,3
287,8
288,3
289,3
290,8
291,7
292,0
293,8
294,3
295,8
296,5
297,3
298,3
299,3
300,8
301,8
302,0
303,0
304,4
305,8
306,8
307,6
308,8
309,3
310,3
311,1
312,1
313,7
314,7
315,7
316,9
317,3
318,3
319,3
320,3
321,8
322,4
323,1
324,6
325,7
326,3
327,3
328,3
329,8
330,8
331,3
332,7
333,5
334,1
335,4
336,0
337,9
338,3
339,6
340,1
341,7
342,7
343,9
344,9
345,3
346,3
347,6
348,8
349,3
350,8
351,4
352,3
353,8
354,3
355,8
356,3
357,3
358,8
359,7
360,3
361,4
362,1
363,8
364,3
365,8
366,6
367,6
368,3
369,8
370,9
371,9
372,9
373,0
374,1
375,5
376,7
377,7
378,9
379,1
380,1
381,3
382,3
383,3
384,7
385,3
386,4
387,0
388,0
389,7
390,7
391,3
392,8
393,8
394,8
395,4
396,7
397,5
398,5
399,4
400,5
401,4
402,3
403,3
404,7
405,3
406,3
407,0
408,1
409,5
410,5
411,3
412,4
413,4
414,1
415,5
416,0
417,3
418,6
419,3
420,6
421,4
422,9
423,8
424,7
425,3
426,7
427,8
428,8
429,3
430,3
431,6
432,3
433,8
434,8
435,3
436,7
437,1
438,1
439,8
440,0
441,4
442,0
443,6
444,3
445,6
446,8
447,3
448,0
449,5
450,4
451,9
452,1
453,5
454,5
455,4
456,0
457,3
458,4
459,4
460,0
461,9
462,5
463,7
464,7
465,8
466,0
467,9
468,3
469,3
470,9
471,3
472,8
473,3
474,8
475,5
476,1
477,3
478,6
479,4
480,4
481,3
482,0
483,4
484,5
485,5
486,0
487,9
488,1
489,5
490,9
491,6
492,0
493,3
494,3
495,0
496,9
497,8
498,0
499,3
500,8
501,8
502,8
503,8
504,3
505,3
506,3
507,9
508,3
509,8
510,3
511,8
512,3
513,8
514,0
515,1
516,3
517,3
518,3
519,6
520,4
521,3
522,4
523,5
524,0
525,6
526,4
527,0
528,3
529,3
530,1
531,9
532,7
533,3
534,3
535,8
536,3
537,8
538,3
539,3
540,8
541,3
542,7
543,3
544,3
545,3
546,0
547,4
548,8
549,9
550,3
551,3
552,0
553,1
554,5
555,5
556,7
557,5
