id,label
0,1
1,9
2,1
3,1
4,1
5,8
6,9
7,9
8,3
9,9
10,5
11,3
12,8
13,8
14,1
15,9
16,3
17,3
18,7
19,1
20,3
21,8
22,3
23,8
24,3
25,3
26,3
27,7
28,0
29,4
30,3
31,1
32,8
33,3
34,6
35,9
36,7
37,3
38,9
39,9
40,3
41,9
42,1
43,9
44,8
45,1
46,3
47,9
48,3
49,1
50,3
51,6
52,0
53,0
54,8
55,3
56,8
57,8
58,9
59,9
60,8
61,1
62,8
63,9
64,9
65,0
66,4
67,0
68,1
69,3
70,9
71,8
72,9
73,8
74,9
75,1
76,9
77,7
78,1
79,5
80,1
81,1
82,6
83,3
84,5
85,9
86,9
87,3
88,1
89,8
90,0
91,8
92,0
93,3
94,9
95,1
96,3
97,8
98,8
99,8
100,8
101,3
102,7
103,3
104,7
105,9
106,3
107,3
108,3
109,3
110,9
111,9
112,7
113,8
114,9
115,9
116,9
117,7
118,4
119,1
120,3
121,9
122,9
123,7
124,9
125,3
126,8
127,8
128,1
129,9
130,8
131,3
132,8
133,3
134,3
135,8
136,3
137,3
138,7
139,1
140,1
141,8
142,5
143,8
144,7
145,9
146,9
147,9
148,9
149,8
150,3
151,9
152,8
153,9
154,3
155,9
156,9
157,1
158,4
159,0
160,3
161,8
162,3
163,3
164,8
165,1
166,6
167,6
168,7
169,0
170,7
171,0
172,8
173,8
174,6
175,0
176,3
177,9
178,3
179,8
180,1
181,3
182,3
183,7
184,8
185,3
186,3
187,7
188,9
189,3
190,3
191,7
192,3
193,4
194,8
195,8
196,4
197,7
198,8
199,3
200,4
201,7
202,7
203,3
204,8
205,6
206,1
207,9
208,6
209,3
210,9
211,9
212,9
213,9
214,1
215,3
216,3
217,3
218,3
219,7
220,9
221,9
222,1
223,8
224,7
225,4
226,8
227,8
228,3
229,7
230,4
231,3
232,3
233,7
234,3
235,8
236,0
237,8
238,3
239,9
240,6
241,9
242,6
243,3
244,8
245,1
246,1
247,7
248,1
249,3
250,3
251,9
252,3
253,8
254,9
255,7
256,8
257,3
258,3
259,8
260,8
261,3
262,3
263,3
264,9
265,3
266,8
267,3
268,8
269,8
270,8
271,9
272,3
273,9
274,3
275,8
276,3
277,3
278,9
279,9
280,1
281,3
282,1
283,3
284,3
285,3
286,8
287,8
288,3
289,3
290,3
291,9
292,3
293,3
294,9
295,3
296,3
297,3
298,3
299,0
300,8
301,8
302,0
303,0
304,4
305,8
306,8
307,6
308,8
309,3
310,3
311,1
312,3
313,6
314,0
315,1
316,9
317,3
318,3
319,9
320,8
321,1
322,4
323,8
324,0
325,1
326,3
327,3
328,9
329,3
330,3
331,3
332,7
333,1
334,8
335,4
336,9
337,3
338,0
339,3
340,1
341,1
342,8
343,9
344,9
345,0
346,0
347,6
348,3
349,8
350,8
351,4
352,9
353,8
354,3
355,3
356,3
357,8
358,8
359,5
360,3
361,4
362,8
363,8
364,8
365,8
366,3
367,6
368,1
369,8
370,3
371,9
372,9
373,3
374,1
375,1
376,6
377,6
378,9
379,3
380,1
381,9
382,3
383,3
384,1
385,8
386,4
387,0
388,0
389,9
390,5
391,3
392,8
393,8
394,8
395,8
396,9
397,7
398,1
399,6
400,3
401,4
402,8
403,3
404,7
405,6
406,3
407,3
408,9
409,1
410,9
411,1
412,3
413,1
414,1
415,0
416,9
417,3
418,6
419,9
420,8
421,4
422,3
423,8
424,9
425,3
426,3
427,8
428,8
429,9
430,3
431,3
432,9
433,8
434,8
435,9
436,1
437,8
438,3
439,8
440,9
441,4
442,0
443,6
444,9
445,3
446,7
447,3
448,9
449,1
450,4
451,9
452,1
453,5
454,9
455,7
456,3
457,3
458,8
459,4
460,0
461,3
462,8
463,1
464,3
465,3
466,9
467,3
468,3
469,3
470,3
471,9
472,8
473,3
474,8
475,3
476,1
477,8
478,6
479,3
480,3
481,9
482,9
483,8
484,9
485,5
486,3
487,9
488,9
489,3
490,9
491,6
492,9
493,3
494,7
495,0
496,7
497,8
498,0
499,3
500,3
501,8
502,3
503,3
504,3
505,8
506,3
507,3
508,9
509,8
510,8
511,8
512,3
513,8
514,1
515,9
516,8
517,3
518,9
519,6
520,8
521,9
522,1
523,9
524,3
525,3
526,7
527,5
528,9
529,9
530,8
531,3
532,3
533,3
534,3
535,8
536,3
537,8
538,3
539,3
540,8
541,9
542,9
543,3
544,9
545,3
546,1
547,8
548,8
549,9
550,3
551,9
552,9
553,9
554,1
555,3
556,7
557,1
